Date,Open,High,Low,Close,Adj Close,Volume
10/28/14,196.820007,198.419998,196.729996,198.410004,181.397629,106736000
10/27/14,195.729996,196.449997,195.029999,196.160004,179.34053,82954000
10/24/14,195.25,196.490005,194.490005,196.429993,179.587402,117927000
10/23/14,194.619995,196.199997,194.259995,194.929993,178.216034,154944000
10/22/14,194.410004,194.910004,192.610001,192.690002,176.168045,151822000
10/21/14,191.679993,194.199997,191.479996,194.070007,177.429764,154949000
10/20/14,188.130005,190.449997,188.070007,190.300003,173.983002,130011000
10/17/14,188.419998,189.75,187.619995,188.470001,172.309937,214625000
10/16/14,183.059998,187.580002,182.889999,186.270004,170.298569,270391000
10/15/14,185.160004,187.690002,181.919998,186.429993,170.444794,380715000
10/14/14,188.419998,189.820007,187.039993,187.699997,171.605942,215847000
10/13/14,190.460007,191.149994,187.300003,187.410004,171.340805,230939000
10/10/14,192.690002,193.649994,190.490005,190.539993,174.202469,221909000
10/9/14,196.330002,196.600006,192.580002,192.740005,176.213806,210705000
10/8/14,193.369995,196.919998,192.360001,196.639999,179.779404,186461000
10/7/14,195.279999,195.720001,193.220001,193.259995,176.689209,147913000
10/6/14,197.339996,197.600006,195.580002,196.289993,179.459396,104778000
10/3/14,195.679993,196.940002,195.080002,196.520004,179.669708,121569000
10/2/14,194.179993,195.059998,192.350006,194.380005,177.713165,157285000
10/1/14,196.699997,196.770004,193.910004,194.350006,177.685776,177798000
9/30/14,197.690002,198.300003,196.610001,197.020004,180.126862,131302000
9/29/14,196.199997,197.889999,196.050003,197.539993,180.602203,95112000
9/26/14,196.699997,198.389999,196.419998,197.899994,180.931366,103547000
9/25/14,199.039993,199.050003,196.270004,196.339996,179.505051,150300000
9/24/14,198.039993,199.690002,197.520004,199.559998,182.44902,107276000
9/23/14,198.429993,199.259995,197.949997,198.009995,181.031921,111393000
9/22/14,200.350006,200.380005,198.729996,199.149994,182.074188,125553000
9/19/14,201.520004,201.899994,200.289993,200.699997,183.491257,121649000
9/18/14,201.360001,201.850006,201.100006,201.820007,183.656586,94990000
9/17/14,200.770004,201.679993,199.75,200.75,182.682892,151266000
9/16/14,198.610001,200.839996,198.5,200.479996,182.437164,116201000
9/15/14,199.160004,199.320007,198.380005,198.979996,181.072159,76401000
9/12/14,200.100006,200.119995,198.559998,199.130005,181.208664,117409300
9/11/14,199.270004,200.330002,199.119995,200.300003,182.273392,66774400
9/10/14,199.429993,200.199997,198.770004,200.070007,182.064102,67251000
9/9/14,200.410004,200.550003,198.910004,199.320007,181.381607,88591000
9/8/14,200.919998,201.210007,200,200.589996,182.537277,64146000
9/5/14,200.169998,201.190002,199.410004,201.110001,183.010452,102177000
9/4/14,200.839996,201.580002,199.660004,200.210007,182.191467,85236000
9/3/14,201.380005,201.410004,200.220001,200.5,182.455399,57462000
9/2/14,200.970001,201,199.860001,200.610001,182.555466,72426000
8/29/14,200.449997,200.729996,199.820007,200.710007,182.646484,65907000
8/28/14,199.589996,200.270004,199.389999,200.139999,182.127777,58330000
8/27/14,200.429993,200.570007,199.940002,200.25,182.227921,47874000
8/26/14,200.330002,200.820007,200.279999,200.330002,182.30069,47298000
8/25/14,200.139999,200.589996,199.149994,200.199997,182.182388,63855000
8/22/14,199.339996,199.690002,198.740005,199.190002,181.26329,76107000
8/21/14,199.089996,199.759995,198.929993,199.5,181.545349,67791000
